FIPS,State,"County, State",2018 Food Insecurity Rate
17017,IL,"Cass County, Illinois",9.7%
17019,IL,"Champaign County, Illinois",11.0%
17021,IL,"Christian County, Illinois",10.6%
17023,IL,"Clark County, Illinois",11.4%
17025,IL,"Clay County, Illinois",12.9%
17027,IL,"Clinton County, Illinois",8.7%
17029,IL,"Coles County, Illinois",13.2%
17031,IL,"Cook County, Illinois",10.1%
17033,IL,"Crawford County, Illinois",10.8%
17035,IL,"Cumberland County, Illinois",10.8%
17037,IL,"DeKalb County, Illinois",10.2%
17039,IL,"De Witt County, Illinois",9.6%
17041,IL,"Douglas County, Illinois",9.2%
17043,IL,"DuPage County, Illinois",5.9%
17045,IL,"Edgar County, Illinois",10.8%
17047,IL,"Edwards County, Illinois",9.9%
17049,IL,"Effingham County, Illinois",9.2%
17051,IL,"Fayette County, Illinois",13.1%
17053,IL,"Ford County, Illinois",12.3%
17055,IL,"Franklin County, Illinois",14.8%
17057,IL,"Fulton County, Illinois",12.5%
17059,IL,"Gallatin County, Illinois",14.9%
17061,IL,"Greene County, Illinois",11.7%
17063,IL,"Grundy County, Illinois",8.0%
17065,IL,"Hamilton County, Illinois",10.2%
17067,IL,"Hancock County, Illinois",10.0%
17069,IL,"Hardin County, Illinois",15.4%
17071,IL,"Henderson County, Illinois",9.6%
17073,IL,"Henry County, Illinois",9.7%
17075,IL,"Iroquois County, Illinois",10.7%
17077,IL,"Jackson County, Illinois",14.7%
17079,IL,"Jasper County, Illinois",11.9%
17081,IL,"Jefferson County, Illinois",13.8%
17083,IL,"Jersey County, Illinois",9.1%
17085,IL,"Jo Daviess County, Illinois",9.0%
17087,IL,"Johnson County, Illinois",11.9%
17089,IL,"Kane County, Illinois",7.1%
17091,IL,"Kankakee County, Illinois",11.6%
17093,IL,"Kendall County, Illinois",4.8%
17095,IL,"Knox County, Illinois",13.1%
17097,IL,"Lake County, Illinois",6.9%
17099,IL,"LaSalle County, Illinois",11.0%
17101,IL,"Lawrence County, Illinois",13.6%
17103,IL,"Lee County, Illinois",10.0%
17105,IL,"Livingston County, Illinois",11.2%
17107,IL,"Logan County, Illinois",9.8%
17109,IL,"McDonough County, Illinois",12.3%
17111,IL,"McHenry County, Illinois",6.2%
17113,IL,"McLean County, Illinois",9.2%
17115,IL,"Macon County, Illinois",12.6%
17117,IL,"Macoupin County, Illinois",10.9%
17119,IL,"Madison County, Illinois",10.7%
17121,IL,"Marion County, Illinois",13.2%
17123,IL,"Marshall County, Illinois",9.6%
17125,IL,"Mason County, Illinois",12.8%
17127,IL,"Massac County, Illinois",14.8%
17129,IL,"Menard County, Illinois",9.0%
17131,IL,"Mercer County, Illinois",9.8%
17133,IL,"Monroe County, Illinois",5.9%
17135,IL,"Montgomery County, Illinois",12.1%
17137,IL,"Morgan County, Illinois",11.8%
17139,IL,"Moultrie County, Illinois",8.3%
17141,IL,"Ogle County, Illinois",9.1%
17143,IL,"Peoria County, Illinois",12.0%
17145,IL,"Perry County, Illinois",13.3%
17147,IL,"Piatt County, Illinois",7.6%
17149,IL,"Pike County, Illinois",11.3%
17151,IL,"Pope County, Illinois",13.5%
17153,IL,"Pulaski County, Illinois",16.7%
17155,IL,"Putnam County, Illinois",8.5%
17157,IL,"Randolph County, Illinois",10.7%
17159,IL,"Richland County, Illinois",12.2%
17161,IL,"Rock Island County, Illinois",11.2%
17163,IL,"St. Clair County, Illinois",12.2%
17165,IL,"Saline County, Illinois",16.3%
17167,IL,"Sangamon County, Illinois",11.4%
17169,IL,"Schuyler County, Illinois",14.6%
17171,IL,"Scott County, Illinois",10.3%
17173,IL,"Shelby County, Illinois",9.5%
17175,IL,"Stark County, Illinois",11.7%
17177,IL,"Stephenson County, Illinois",11.6%
17179,IL,"Tazewell County, Illinois",8.7%
17181,IL,"Union County, Illinois",13.7%
17183,IL,"Vermilion County, Illinois",13.8%
17185,IL,"Wabash County, Illinois",10.9%
17187,IL,"Warren County, Illinois",9.7%
17189,IL,"Washington County, Illinois",7.7%
17191,IL,"Wayne County, Illinois",12.4%
17193,IL,"White County, Illinois",11.6%
17195,IL,"Whiteside County, Illinois",9.4%
17197,IL,"Will County, Illinois",6.1%
17199,IL,"Williamson County, Illinois",12.5%
17201,IL,"Winnebago County, Illinois",12.0%
17203,IL,"Woodford County, Illinois",7.3%
18001,IN,"Adams County, Indiana",12.2%
18003,IN,"Allen County, Indiana",12.6%
18005,IN,"Bartholomew County, Indiana",11.6%
18007,IN,"Benton County, Indiana",14.0%
18009,IN,"Blackford County, Indiana",13.8%
18011,IN,"Boone County, Indiana",8.5%
18013,IN,"Brown County, Indiana",10.6%
18015,IN,"Carroll County, Indiana",11.6%
18017,IN,"Cass County, Indiana",12.9%
18019,IN,"Clark County, Indiana",11.7%
18021,IN,"Clay County, Indiana",13.7%
18023,IN,"Clinton County, Indiana",11.6%
18025,IN,"Crawford County, Indiana",14.9%
18027,IN,"Daviess County, Indiana",12.0%
18029,IN,"Dearborn County, Indiana",11.0%
18031,IN,"Decatur County, Indiana",12.5%
18033,IN,"DeKalb County, Indiana",11.3%
18035,IN,"Delaware County, Indiana",15.1%
18037,IN,"Dubois County, Indiana",10.4%
18039,IN,"Elkhart County, Indiana",11.6%
18041,IN,"Fayette County, Indiana",15.9%
18043,IN,"Floyd County, Indiana",11.2%
18045,IN,"Fountain County, Indiana",13.1%
18047,IN,"Franklin County, Indiana",10.7%
18049,IN,"Fulton County, Indiana",13.1%
18051,IN,"Gibson County, Indiana",11.4%
18053,IN,"Grant County, Indiana",15.9%
18055,IN,"Greene County, Indiana",14.0%
18057,IN,"Hamilton County, Indiana",7.7%
18059,IN,"Hancock County, Indiana",9.9%
18061,IN,"Harrison County, Indiana",12.2%
18063,IN,"Hendricks County, Indiana",8.8%
18065,IN,"Henry County, Indiana",14.1%
18067,IN,"Howard County, Indiana",14.7%
18069,IN,"Huntington County, Indiana",11.7%
18071,IN,"Jackson County, Indiana",13.2%
18073,IN,"Jasper County, Indiana",11.4%
18075,IN,"Jay County, Indiana",14.2%
18077,IN,"Jefferson County, Indiana",13.4%
18079,IN,"Jennings County, Indiana",13.7%
18081,IN,"Johnson County, Indiana",10.1%
18083,IN,"Knox County, Indiana",15.0%
18085,IN,"Kosciusko County, Indiana",10.9%
18087,IN,"LaGrange County, Indiana",9.0%
18089,IN,"Lake County, Indiana",13.9%
18091,IN,"LaPorte County, Indiana",13.9%
18093,IN,"Lawrence County, Indiana",13.2%
18095,IN,"Madison County, Indiana",15.0%
18097,IN,"Marion County, Indiana",15.3%
18099,IN,"Marshall County, Indiana",11.6%
18101,IN,"Martin County, Indiana",12.9%
18103,IN,"Miami County, Indiana",14.7%
18105,IN,"Monroe County, Indiana",14.1%
18107,IN,"Montgomery County, Indiana",11.7%
18109,IN,"Morgan County, Indiana",12.0%
18111,IN,"Newton County, Indiana",13.1%
18113,IN,"Noble County, Indiana",10.1%
18115,IN,"Ohio County, Indiana",10.0%
18117,IN,"Orange County, Indiana",15.4%
18119,IN,"Owen County, Indiana",14.6%
18121,IN,"Parke County, Indiana",14.0%
18123,IN,"Perry County, Indiana",12.8%
18125,IN,"Pike County, Indiana",12.4%
18127,IN,"Porter County, Indiana",10.6%
18129,IN,"Posey County, Indiana",10.6%
18131,IN,"Pulaski County, Indiana",13.3%
18133,IN,"Putnam County, Indiana",12.7%
18135,IN,"Randolph County, Indiana",14.0%
18137,IN,"Ripley County, Indiana",11.9%
18139,IN,"Rush County, Indiana",13.7%
18141,IN,"St. Joseph County, Indiana",13.4%
18143,IN,"Scott County, Indiana",14.5%
18145,IN,"Shelby County, Indiana",11.6%
18147,IN,"Spencer County, Indiana",11.0%
18149,IN,"Starke County, Indiana",13.4%
18151,IN,"Steuben County, Indiana",11.5%
18153,IN,"Sullivan County, Indiana",14.3%
18155,IN,"Switzerland County, Indiana",15.6%
18157,IN,"Tippecanoe County, Indiana",13.1%
18159,IN,"Tipton County, Indiana",11.1%
18161,IN,"Union County, Indiana",11.7%
18163,IN,"Vanderburgh County, Indiana",14.5%
18165,IN,"Vermillion County, Indiana",15.4%
18167,IN,"Vigo County, Indiana",15.9%
18169,IN,"Wabash County, Indiana",12.5%
18171,IN,"Warren County, Indiana",11.5%
18173,IN,"Warrick County, Indiana",9.8%
18175,IN,"Washington County, Indiana",13.5%
18177,IN,"Wayne County, Indiana",15.0%
18179,IN,"Wells County, Indiana",10.6%
18181,IN,"White County, Indiana",11.1%
18183,IN,"Whitley County, Indiana",10.6%
19001,IA,"Adair County, Iowa",9.3%
19003,IA,"Adams County, Iowa",9.1%
19005,IA,"Allamakee County, Iowa",8.4%
19007,IA,"Appanoose County, Iowa",12.5%
19009,IA,"Audubon County, Iowa",8.7%
19011,IA,"Benton County, Iowa",7.9%
19013,IA,"Black Hawk County, Iowa",10.2%
19015,IA,"Boone County, Iowa",8.2%
19017,IA,"Bremer County, Iowa",6.6%
19019,IA,"Buchanan County, Iowa",8.1%
19021,IA,"Buena Vista County, Iowa",8.3%
19023,IA,"Butler County, Iowa",8.2%
19025,IA,"Calhoun County, Iowa",9.4%
19027,IA,"Carroll County, Iowa",7.8%
19029,IA,"Cass County, Iowa",9.8%
19031,IA,"Cedar County, Iowa",6.9%
19033,IA,"Cerro Gordo County, Iowa",9.7%
19035,IA,"Cherokee County, Iowa",9.0%
19037,IA,"Chickasaw County, Iowa",8.0%
19039,IA,"Clarke County, Iowa",10.2%
19041,IA,"Clay County, Iowa",10.6%
19043,IA,"Clayton County, Iowa",9.1%
19045,IA,"Clinton County, Iowa",10.0%
19047,IA,"Crawford County, Iowa",10.3%
19049,IA,"Dallas County, Iowa",5.6%
19051,IA,"Davis County, Iowa",8.9%
19053,IA,"Decatur County, Iowa",12.3%
19055,IA,"Delaware County, Iowa",7.4%
19057,IA,"Des Moines County, Iowa",11.5%
19059,IA,"Dickinson County, Iowa",8.6%
19061,IA,"Dubuque County, Iowa",8.8%
19063,IA,"Emmet County, Iowa",9.4%
19065,IA,"Fayette County, Iowa",9.9%
19067,IA,"Floyd County, Iowa",11.4%
19069,IA,"Franklin County, Iowa",8.3%
19071,IA,"Fremont County, Iowa",8.4%
19073,IA,"Greene County, Iowa",9.2%
19075,IA,"Grundy County, Iowa",6.7%
19077,IA,"Guthrie County, Iowa",9.2%
19079,IA,"Hamilton County, Iowa",8.6%
19081,IA,"Hancock County, Iowa",7.9%
19083,IA,"Hardin County, Iowa",7.9%
19085,IA,"Harrison County, Iowa",8.8%
19087,IA,"Henry County, Iowa",9.4%
19089,IA,"Howard County, Iowa",8.9%
19091,IA,"Humboldt County, Iowa",9.5%
19093,IA,"Ida County, Iowa",9.0%
19095,IA,"Iowa County, Iowa",7.7%
19097,IA,"Jackson County, Iowa",9.3%
19099,IA,"Jasper County, Iowa",9.3%
19101,IA,"Jefferson County, Iowa",10.5%
19103,IA,"Johnson County, Iowa",8.2%
19105,IA,"Jones County, Iowa",8.9%
19107,IA,"Keokuk County, Iowa",9.6%
19109,IA,"Kossuth County, Iowa",9.0%
19111,IA,"Lee County, Iowa",11.9%
19113,IA,"Linn County, Iowa",8.1%
19115,IA,"Louisa County, Iowa",8.3%
19117,IA,"Lucas County, Iowa",10.1%
19119,IA,"Lyon County, Iowa",5.7%
19121,IA,"Madison County, Iowa",8.0%
19123,IA,"Mahaska County, Iowa",10.2%
19125,IA,"Marion County, Iowa",9.0%
19127,IA,"Marshall County, Iowa",9.2%
19129,IA,"Mills County, Iowa",8.4%
19131,IA,"Mitchell County, Iowa",7.9%
19133,IA,"Monona County, Iowa",11.5%
19135,IA,"Monroe County, Iowa",9.4%
19137,IA,"Montgomery County, Iowa",11.3%
19139,IA,"Muscatine County, Iowa",7.8%
19141,IA,"O'Brien County, Iowa",8.6%
19143,IA,"Osceola County, Iowa",8.7%
19145,IA,"Page County, Iowa",10.1%
19147,IA,"Palo Alto County, Iowa",8.1%
19149,IA,"Plymouth County, Iowa",7.5%
19151,IA,"Pocahontas County, Iowa",9.4%
19153,IA,"Polk County, Iowa",8.8%
19155,IA,"Pottawattamie County, Iowa",9.4%
19157,IA,"Poweshiek County, Iowa",8.1%
19159,IA,"Ringgold County, Iowa",9.3%
19161,IA,"Sac County, Iowa",8.1%
19163,IA,"Scott County, Iowa",9.2%
19165,IA,"Shelby County, Iowa",8.2%
19167,IA,"Sioux County, Iowa",5.9%
19169,IA,"Story County, Iowa",8.2%
19171,IA,"Tama County, Iowa",8.9%
19173,IA,"Taylor County, Iowa",8.9%
19175,IA,"Union County, Iowa",11.7%
19177,IA,"Van Buren County, Iowa",9.8%
19179,IA,"Wapello County, Iowa",11.0%
19181,IA,"Warren County, Iowa",7.1%
19183,IA,"Washington County, Iowa",8.1%
19185,IA,"Wayne County, Iowa",10.8%
19187,IA,"Webster County, Iowa",11.2%
19189,IA,"Winnebago County, Iowa",9.0%
19191,IA,"Winneshiek County, Iowa",7.6%
19193,IA,"Woodbury County, Iowa",9.5%
19195,IA,"Worth County, Iowa",9.0%
19197,IA,"Wright County, Iowa",9.6%
20001,KS,"Allen County, Kansas",15.2%
20003,KS,"Anderson County, Kansas",13.1%
20005,KS,"Atchison County, Kansas",14.9%
20007,KS,"Barber County, Kansas",13.6%
20009,KS,"Barton County, Kansas",13.6%
20011,KS,"Bourbon County, Kansas",15.9%
20013,KS,"Brown County, Kansas",13.3%
20015,KS,"Butler County, Kansas",11.3%
20017,KS,"Chase County, Kansas",12.3%
20019,KS,"Chautauqua County, Kansas",15.9%
20021,KS,"Cherokee County, Kansas",15.0%
20023,KS,"Cheyenne County, Kansas",11.0%
20025,KS,"Clark County, Kansas",11.5%
20027,KS,"Clay County, Kansas",11.1%
20029,KS,"Cloud County, Kansas",12.6%
20031,KS,"Coffey County, Kansas",13.3%
20033,KS,"Comanche County, Kansas",9.4%
20035,KS,"Cowley County, Kansas",14.2%
20037,KS,"Crawford County, Kansas",15.7%
20039,KS,"Decatur County, Kansas",15.0%
20041,KS,"Dickinson County, Kansas",13.7%
20043,KS,"Doniphan County, Kansas",13.8%
20045,KS,"Douglas County, Kansas",12.8%
20047,KS,"Edwards County, Kansas",10.0%
20049,KS,"Elk County, Kansas",15.4%
20051,KS,"Ellis County, Kansas",11.8%
20053,KS,"Ellsworth County, Kansas",12.5%
20055,KS,"Finney County, Kansas",10.6%
20057,KS,"Ford County, Kansas",9.9%
20059,KS,"Franklin County, Kansas",12.0%
20061,KS,"Geary County, Kansas",14.7%
20063,KS,"Gove County, Kansas",11.9%
20065,KS,"Graham County, Kansas",12.4%
20067,KS,"Grant County, Kansas",8.0%
20069,KS,"Gray County, Kansas",8.6%
20071,KS,"Greeley County, Kansas",11.7%
20073,KS,"Greenwood County, Kansas",14.2%
20075,KS,"Hamilton County, Kansas",10.1%
20077,KS,"Harper County, Kansas",13.7%
20079,KS,"Harvey County, Kansas",12.0%
20081,KS,"Haskell County, Kansas",9.1%
20083,KS,"Hodgeman County, Kansas",11.2%
20085,KS,"Jackson County, Kansas",12.2%
20087,KS,"Jefferson County, Kansas",10.7%
20089,KS,"Jewell County, Kansas",13.8%
20091,KS,"Johnson County, Kansas",9.0%
20093,KS,"Kearny County, Kansas",12.5%
20095,KS,"Kingman County, Kansas",10.7%
20097,KS,"Kiowa County, Kansas",11.1%
20099,KS,"Labette County, Kansas",15.7%
20101,KS,"Lane County, Kansas",12.8%
20103,KS,"Leavenworth County, Kansas",11.9%
20105,KS,"Lincoln County, Kansas",11.4%
20107,KS,"Linn County, Kansas",16.1%
20109,KS,"Logan County, Kansas",10.7%
20111,KS,"Lyon County, Kansas",12.5%
20113,KS,"McPherson County, Kansas",11.1%
20115,KS,"Marion County, Kansas",11.6%
20117,KS,"Marshall County, Kansas",11.4%
20119,KS,"Meade County, Kansas",10.4%
20121,KS,"Miami County, Kansas",10.8%
20123,KS,"Mitchell County, Kansas",13.0%
20125,KS,"Montgomery County, Kansas",15.7%
20127,KS,"Morris County, Kansas",11.8%
20129,KS,"Morton County, Kansas",11.0%
20131,KS,"Nemaha County, Kansas",11.1%
20133,KS,"Neosho County, Kansas",15.9%
20135,KS,"Ness County, Kansas",10.4%
20137,KS,"Norton County, Kansas",11.8%
20139,KS,"Osage County, Kansas",13.4%
20141,KS,"Osborne County, Kansas",13.2%
20143,KS,"Ottawa County, Kansas",11.2%
20145,KS,"Pawnee County, Kansas",12.3%
20147,KS,"Phillips County, Kansas",11.4%
20149,KS,"Pottawatomie County, Kansas",10.1%
20151,KS,"Pratt County, Kansas",11.3%
20153,KS,"Rawlins County, Kansas",11.9%
20155,KS,"Reno County, Kansas",13.1%
20157,KS,"Republic County, Kansas",11.8%
20159,KS,"Rice County, Kansas",13.3%
20161,KS,"Riley County, Kansas",12.9%
20163,KS,"Rooks County, Kansas",11.3%
20165,KS,"Rush County, Kansas",12.0%
20167,KS,"Russell County, Kansas",11.2%
20169,KS,"Saline County, Kansas",12.5%
20171,KS,"Scott County, Kansas",6.7%
20173,KS,"Sedgwick County, Kansas",13.0%
20175,KS,"Seward County, Kansas",10.1%
20177,KS,"Shawnee County, Kansas",12.6%
20179,KS,"Sheridan County, Kansas",10.0%
20181,KS,"Sherman County, Kansas",14.8%
20183,KS,"Smith County, Kansas",12.9%
20185,KS,"Stafford County, Kansas",12.1%
20187,KS,"Stanton County, Kansas",11.4%
20189,KS,"Stevens County, Kansas",11.6%
20191,KS,"Sumner County, Kansas",12.6%
20193,KS,"Thomas County, Kansas",11.3%
20195,KS,"Trego County, Kansas",10.3%
20197,KS,"Wabaunsee County, Kansas",10.1%
20199,KS,"Wallace County, Kansas",12.4%
20201,KS,"Washington County, Kansas",12.1%
20203,KS,"Wichita County, Kansas",9.9%
20205,KS,"Wilson County, Kansas",15.6%
20207,KS,"Woodson County, Kansas",17.7%
20209,KS,"Wyandotte County, Kansas",15.6%
21001,KY,"Adair County, Kentucky",16.1%
21003,KY,"Allen County, Kentucky",15.1%
21005,KY,"Anderson County, Kentucky",12.4%
21007,KY,"Ballard County, Kentucky",14.9%
21009,KY,"Barren County, Kentucky",17.2%
21011,KY,"Bath County, Kentucky",17.9%
21013,KY,"Bell County, Kentucky",24.7%
21015,KY,"Boone County, Kentucky",8.8%
21017,KY,"Bourbon County, Kentucky",13.9%
21019,KY,"Boyd County, Kentucky",16.6%
21021,KY,"Boyle County, Kentucky",13.6%
21023,KY,"Bracken County, Kentucky",13.8%
21025,KY,"Breathitt County, Kentucky",24.6%
21027,KY,"Breckinridge County, Kentucky",15.3%
21029,KY,"Bullitt County, Kentucky",11.1%
21031,KY,"Butler County, Kentucky",16.0%
21033,KY,"Caldwell County, Kentucky",15.0%
21035,KY,"Calloway County, Kentucky",14.8%
21037,KY,"Campbell County, Kentucky",11.3%
21039,KY,"Carlisle County, Kentucky",14.0%
21041,KY,"Carroll County, Kentucky",16.2%
21043,KY,"Carter County, Kentucky",19.5%
21045,KY,"Casey County, Kentucky",18.0%
21047,KY,"Christian County, Kentucky",16.8%
21049,KY,"Clark County, Kentucky",14.1%
21051,KY,"Clay County, Kentucky",24.4%
21053,KY,"Clinton County, Kentucky",16.9%
21055,KY,"Crittenden County, Kentucky",14.6%
21057,KY,"Cumberland County, Kentucky",15.3%
21059,KY,"Daviess County, Kentucky",13.4%
21061,KY,"Edmonson County, Kentucky",16.7%
21063,KY,"Elliott County, Kentucky",22.0%
21065,KY,"Estill County, Kentucky",21.3%
21067,KY,"Fayette County, Kentucky",12.7%
21069,KY,"Fleming County, Kentucky",16.4%
21071,KY,"Floyd County, Kentucky",22.1%
21073,KY,"Franklin County, Kentucky",12.5%
21075,KY,"Fulton County, Kentucky",20.5%
21077,KY,"Gallatin County, Kentucky",12.7%
21079,KY,"Garrard County, Kentucky",13.8%
21081,KY,"Grant County, Kentucky",14.5%
21083,KY,"Graves County, Kentucky",14.5%
21085,KY,"Grayson County, Kentucky",17.5%
21087,KY,"Green County, Kentucky",16.3%
21089,KY,"Greenup County, Kentucky",15.1%
21091,KY,"Hancock County, Kentucky",12.2%
21093,KY,"Hardin County, Kentucky",13.4%
21095,KY,"Harlan County, Kentucky",24.8%
21097,KY,"Harrison County, Kentucky",14.0%
21099,KY,"Hart County, Kentucky",16.2%
21101,KY,"Henderson County, Kentucky",15.8%
21103,KY,"Henry County, Kentucky",14.9%
21105,KY,"Hickman County, Kentucky",15.6%
21107,KY,"Hopkins County, Kentucky",14.7%
21109,KY,"Jackson County, Kentucky",21.6%
21111,KY,"Jefferson County, Kentucky",13.1%
21113,KY,"Jessamine County, Kentucky",13.7%
21115,KY,"Johnson County, Kentucky",19.2%
21117,KY,"Kenton County, Kentucky",11.8%
21119,KY,"Knott County, Kentucky",23.1%
21121,KY,"Knox County, Kentucky",20.0%
21123,KY,"Larue County, Kentucky",14.2%
21125,KY,"Laurel County, Kentucky",16.9%
21127,KY,"Lawrence County, Kentucky",19.6%
21129,KY,"Lee County, Kentucky",23.2%
21131,KY,"Leslie County, Kentucky",23.7%
21133,KY,"Letcher County, Kentucky",22.4%
21135,KY,"Lewis County, Kentucky",20.3%
21137,KY,"Lincoln County, Kentucky",16.9%
21139,KY,"Livingston County, Kentucky",15.4%
21141,KY,"Logan County, Kentucky",13.9%
21143,KY,"Lyon County, Kentucky",14.6%
21145,KY,"McCracken County, Kentucky",14.4%
21147,KY,"McCreary County, Kentucky",23.3%
21149,KY,"McLean County, Kentucky",14.1%
21151,KY,"Madison County, Kentucky",14.2%
21153,KY,"Magoffin County, Kentucky",24.7%
21155,KY,"Marion County, Kentucky",16.6%
21157,KY,"Marshall County, Kentucky",12.8%
21159,KY,"Martin County, Kentucky",21.0%
21161,KY,"Mason County, Kentucky",15.7%
21163,KY,"Meade County, Kentucky",12.6%
21165,KY,"Menifee County, Kentucky",17.8%
21167,KY,"Mercer County, Kentucky",14.2%
21169,KY,"Metcalfe County, Kentucky",17.0%
21171,KY,"Monroe County, Kentucky",17.2%
21173,KY,"Montgomery County, Kentucky",17.0%
21175,KY,"Morgan County, Kentucky",19.2%
21177,KY,"Muhlenberg County, Kentucky",16.3%
21179,KY,"Nelson County, Kentucky",12.1%
21181,KY,"Nicholas County, Kentucky",18.3%
21183,KY,"Ohio County, Kentucky",16.1%
21185,KY,"Oldham County, Kentucky",6.9%
21187,KY,"Owen County, Kentucky",14.8%
21189,KY,"Owsley County, Kentucky",23.7%
21191,KY,"Pendleton County, Kentucky",14.1%
21193,KY,"Perry County, Kentucky",20.8%
21195,KY,"Pike County, Kentucky",19.6%
21197,KY,"Powell County, Kentucky",18.1%
21199,KY,"Pulaski County, Kentucky",17.1%
21201,KY,"Robertson County, Kentucky",16.4%
21203,KY,"Rockcastle County, Kentucky",16.9%
21205,KY,"Rowan County, Kentucky",17.0%
21207,KY,"Russell County, Kentucky",17.2%
21209,KY,"Scott County, Kentucky",11.0%
21211,KY,"Shelby County, Kentucky",11.5%
21213,KY,"Simpson County, Kentucky",12.7%
21215,KY,"Spencer County, Kentucky",9.4%
21217,KY,"Taylor County, Kentucky",17.5%
21219,KY,"Todd County, Kentucky",13.8%
21221,KY,"Trigg County, Kentucky",12.1%
21223,KY,"Trimble County, Kentucky",15.2%
21225,KY,"Union County, Kentucky",16.3%
21227,KY,"Warren County, Kentucky",13.5%
21229,KY,"Washington County, Kentucky",13.5%
21231,KY,"Wayne County, Kentucky",18.7%
21233,KY,"Webster County, Kentucky",16.7%
21235,KY,"Whitley County, Kentucky",18.3%
21237,KY,"Wolfe County, Kentucky",24.4%
21239,KY,"Woodford County, Kentucky",11.6%
22001,LA,"Acadia Parish, Louisiana",17.5%
22003,LA,"Allen Parish, Louisiana",15.8%
22005,LA,"Ascension Parish, Louisiana",10.9%
22007,LA,"Assumption Parish, Louisiana",16.5%
22009,LA,"Avoyelles Parish, Louisiana",18.0%
22011,LA,"Beauregard Parish, Louisiana",15.2%
22013,LA,"Bienville Parish, Louisiana",20.0%
22015,LA,"Bossier Parish, Louisiana",13.4%
22017,LA,"Caddo Parish, Louisiana",17.4%
22019,LA,"Calcasieu Parish, Louisiana",13.9%
22021,LA,"Caldwell Parish, Louisiana",17.3%
22023,LA,"Cameron Parish, Louisiana",10.3%
22025,LA,"Catahoula Parish, Louisiana",16.6%
22027,LA,"Claiborne Parish, Louisiana",20.0%
22029,LA,"Concordia Parish, Louisiana",18.8%
22031,LA,"De Soto Parish, Louisiana",17.7%
22033,LA,"East Baton Rouge Parish, Louisiana",14.4%
22035,LA,"East Carroll Parish, Louisiana",28.2%
22037,LA,"East Feliciana Parish, Louisiana",14.6%
22039,LA,"Evangeline Parish, Louisiana",20.6%
22041,LA,"Franklin Parish, Louisiana",19.5%
22043,LA,"Grant Parish, Louisiana",16.5%
22045,LA,"Iberia Parish, Louisiana",16.8%
22047,LA,"Iberville Parish, Louisiana",16.4%
22049,LA,"Jackson Parish, Louisiana",18.9%
22051,LA,"Jefferson Parish, Louisiana",13.4%
22053,LA,"Jefferson Davis Parish, Louisiana",15.5%
22055,LA,"Lafayette Parish, Louisiana",13.3%
22057,LA,"Lafourche Parish, Louisiana",13.7%
22059,LA,"LaSalle Parish, Louisiana",15.4%
22061,LA,"Lincoln Parish, Louisiana",17.7%
22063,LA,"Livingston Parish, Louisiana",11.1%
22065,LA,"Madison Parish, Louisiana",23.1%
22067,LA,"Morehouse Parish, Louisiana",20.3%
22069,LA,"Natchitoches Parish, Louisiana",20.1%
22071,LA,"Orleans Parish, Louisiana",18.0%
22073,LA,"Ouachita Parish, Louisiana",16.8%
22075,LA,"Plaquemines Parish, Louisiana",14.5%
22077,LA,"Pointe Coupee Parish, Louisiana",16.7%
22079,LA,"Rapides Parish, Louisiana",16.3%
22081,LA,"Red River Parish, Louisiana",16.6%
22083,LA,"Richland Parish, Louisiana",18.9%
22085,LA,"Sabine Parish, Louisiana",15.5%
22087,LA,"St. Bernard Parish, Louisiana",15.0%
22089,LA,"St. Charles Parish, Louisiana",10.9%
22091,LA,"St. Helena Parish, Louisiana",17.6%
22093,LA,"St. James Parish, Louisiana",14.9%
22095,LA,"St. John the Baptist Parish, Louisiana",14.9%
22097,LA,"St. Landry Parish, Louisiana",18.2%
22099,LA,"St. Martin Parish, Louisiana",14.2%
22101,LA,"St. Mary Parish, Louisiana",16.8%
22103,LA,"St. Tammany Parish, Louisiana",11.1%
22105,LA,"Tangipahoa Parish, Louisiana",17.1%
22107,LA,"Tensas Parish, Louisiana",22.5%
22109,LA,"Terrebonne Parish, Louisiana",15.9%
22111,LA,"Union Parish, Louisiana",14.6%
22113,LA,"Vermilion Parish, Louisiana",14.6%
22115,LA,"Vernon Parish, Louisiana",16.4%
22117,LA,"Washington Parish, Louisiana",19.7%
22119,LA,"Webster Parish, Louisiana",18.2%
22121,LA,"West Baton Rouge Parish, Louisiana",13.6%
22123,LA,"West Carroll Parish, Louisiana",17.9%
22125,LA,"West Feliciana Parish, Louisiana",13.2%
22127,LA,"Winn Parish, Louisiana",18.9%
23001,ME,"Androscoggin County, Maine",13.5%
23003,ME,"Aroostook County, Maine",16.4%
23005,ME,"Cumberland County, Maine",10.7%
23007,ME,"Franklin County, Maine",12.5%
23009,ME,"Hancock County, Maine",12.4%
23011,ME,"Kennebec County, Maine",13.1%
23013,ME,"Knox County, Maine",11.8%
23015,ME,"Lincoln County, Maine",12.5%
23017,ME,"Oxford County, Maine",14.3%
23019,ME,"Penobscot County, Maine",14.3%
23021,ME,"Piscataquis County, Maine",17.5%
23023,ME,"Sagadahoc County, Maine",10.5%
23025,ME,"Somerset County, Maine",16.6%
23027,ME,"Waldo County, Maine",13.0%
23029,ME,"Washington County, Maine",16.3%
23031,ME,"York County, Maine",10.9%
24001,MD,"Allegany County, Maryland",15.1%
24003,MD,"Anne Arundel County, Maryland",8.5%
24005,MD,"Baltimore County, Maryland",11.0%
